譲渡益税履歴

検索開始年月日,検索終了年月日
"2020年10月23日","2020年11月26日"

譲渡益税徴収額合計,所得税,地方税
"19497","14699","4798"

損益合計金額
"140860"

明細数：299件

銘柄コード,銘柄名,累投区分,約定日,数量,受渡日,譲渡益税計算処理分類区分,商品,売却/決済金額,費用,取得/新規年月日,取得/新規金額,損益金額,譲渡益税徴収額,地方税
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","341482","18","2020/10/23","331500","+9982","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","338482","18","2020/10/23","338000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","336482","18","2020/10/23","336000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","337982","18","2020/10/23","336500","+1482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","337982","18","2020/10/23","337500","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","338482","18","2020/10/23","337500","+982","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","335982","18","2020/10/23","335500","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","339482","18","2020/10/23","339000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","344482","18","2020/10/23","338500","+5982","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","339982","18","2020/10/23","338500","+1482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","341482","18","2020/10/23","341000","+482","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","273286","14","2020/10/23","273100","+186","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","278485","15","2020/10/23","278300","+185","",""
"3681","ブイキューブ","","2020/10/21","200","2020/10/23","信用売決済","株式","546571","29","2020/10/23","546200","+371","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","273286","14","2020/10/23","273100","+186","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","273586","14","2020/10/23","273400","+186","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","276785","15","2020/10/23","276600","+185","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","273186","14","2020/10/23","272900","+286","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","273086","14","2020/10/23","272900","+186","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","272986","14","2020/10/23","272900","+86","",""
"3681","ブイキューブ","","2020/10/21","200","2020/10/23","信用売決済","株式","549770","30","2020/10/23","551400","-1630","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","274585","15","2020/10/23","274300","+285","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","275085","15","2020/10/23","274200","+885","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","274485","15","2020/10/23","274200","+285","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","269386","14","2020/10/23","268900","+486","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","281686","14","2020/10/23","268900","+12786","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","269686","14","2020/10/23","269400","+286","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","277886","14","2020/10/23","269400","+8486","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","277285","15","2020/10/23","275500","+1785","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","277985","15","2020/10/23","277800","+185","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","271486","14","2020/10/23","271200","+286","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","277285","15","2020/10/23","277800","-515","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","272271","29","2020/10/22","272200","+71","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","276270","30","2020/10/22","276100","+170","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","275685","15","2020/10/23","275400","+285","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","277370","30","2020/10/22","277200","+170","",""
