Date,Transaction ID,Number,Description,Notes,Commodity/Currency,Void Reason,Action,Memo,Full Account Name,Account Name,Amount With Sym,Amount Num.,Reconcile,Reconcile Date,Rate/Price
,,,,,,,,,個人.収益:営業外収益:分離課税:有価証券売却益:岡三オンライン証券,,,-2308,c,,1
2020/07/31,20200819072552054686639293583218,,売付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,-500,c,,1744
,,,,,,,,,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,285,c,,1
,,,,,,,,消費税,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,25,c,,1
,,,,,,,,,個人.費用:営業外費用:利子割引料:岡三オンライン証券,,,62,c,,1
,,,,,,,,,個人.資産:流動資産:未収入金:有価証券:岡三オンライン証券,,,871628,c,,1
,,,,,,,,売買損益,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,-182,c,,1
,,,,,,,,,個人.費用:営業外費用:有価証券売却損:岡三オンライン証券,,,182,c,,1
2020/07/31,20200819072552054704426411744194,,売付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,-500,c,,1748
,,,,,,,,,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,290,c,,1
,,,,,,,,消費税,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,29,c,,1
,,,,,,,,,個人.費用:営業外費用:利子割引料:岡三オンライン証券,,,62,c,,1
,,,,,,,,,個人.資産:流動資産:未収入金:有価証券:岡三オンライン証券,,,873619,c,,1
,,,,,,,,売買損益,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,+800,c,,1
,,,,,,,,,個人.収益:営業外収益:分離課税:有価証券売却益:岡三オンライン証券,,,-800,c,,1
2020/07/31,20200819072552054725757862986207,,売付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,-500,c,,1754
,,,,,,,,,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,290,c,,1
,,,,,,,,消費税,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,28,c,,1
,,,,,,,,,個人.費用:営業外費用:利子割引料:岡三オンライン証券,,,62,c,,1
,,,,,,,,,個人.資産:流動資産:未収入金:有価証券:岡三オンライン証券,,,876620,c,,1
,,,,,,,,売買損益,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,-198,c,,1
,,,,,,,,,個人.費用:営業外費用:有価証券売却損:岡三オンライン証券,,,198,c,,1
2020/07/31,20200819072552054742344418478342,,売付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,-500,c,,1757
,,,,,,,,,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,292,c,,1
,,,,,,,,消費税,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,29,c,,1
,,,,,,,,,個人.費用:営業外費用:利子割引料:岡三オンライン証券,,,62,c,,1
,,,,,,,,,個人.資産:流動資産:未収入金:有価証券:岡三オンライン証券,,,878117,c,,1
,,,,,,,,売買損益,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,+3798,c,,1
,,,,,,,,,個人.収益:営業外収益:分離課税:有価証券売却益:岡三オンライン証券,,,-3798,c,,1
2020/07/31,20200819072552054761628787296448,,売付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:6000:6291 日本エアーテック,,,-500,c,,1619
,,,,,,,,,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,269,c,,1
,,,,,,,,消費税,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,26,c,,1
,,,,,,,,,個人.費用:営業外費用:利子割引料:岡三オンライン証券,,,115,c,,1
,,,,,,,,,個人.資産:流動資産:未収入金:有価証券:岡三オンライン証券,,,809090,c,,1
,,,,,,,,売買損益,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:6000:6291 日本エアーテック,,,-3179,c,,1
,,,,,,,,,個人.費用:営業外費用:有価証券売却損:岡三オンライン証券,,,3179,c,,1
2020/07/31,20200819072552054782893280464603,,売付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:6000:6291 日本エアーテック,,,-500,c,,1619
,,,,,,,,,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,269,c,,1
,,,,,,,,消費税,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,26,c,,1
,,,,,,,,,個人.費用:営業外費用:利子割引料:岡三オンライン証券,,,117,c,,1
,,,,,,,,,個人.資産:流動資産:未収入金:有価証券:岡三オンライン証券,,,809088,c,,1
,,,,,,,,売買損益,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:6000:6291 日本エアーテック,,,-18688,c,,1
,,,,,,,,,個人.費用:営業外費用:有価証券売却損:岡三オンライン証券,,,18688,c,,1
2020/07/31,20200819072552054799840979573094,,売付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:6000:6291 日本エアーテック,,,-500,c,,1622
,,,,,,,,,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,266,c,,1
,,,,,,,,消費税,個人.費用:営業外費用:その他:支払手数料:証券会社:岡三オンライン証券,,,25,c,,1
,,,,,,,,,個人.費用:営業外費用:利子割引料:岡三オンライン証券,,,115,c,,1
,,,,,,,,,個人.資産:流動資産:未収入金:有価証券:岡三オンライン証券,,,810594,c,,1
,,,,,,,,売買損益,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:6000:6291 日本エアーテック,,,-1675,c,,1
,,,,,,,,,個人.費用:営業外費用:有価証券売却損:岡三オンライン証券,,,1675,c,,1
2020/07/31,20200819072552054837546187958014,,精算,,CURRENCY::JPY,,,,個人.資産:流動資産:その他:差入保証金:岡三オンライン証券,,,2435952,c,,1
,,,,,,,,譲渡益税徴収額,個人.費用:営業費用:販売費及び一般管理費:一般管理費:税金:国税:所得税:株式,,,,c,,1
,,,,,,,,譲渡益税徴収額,個人.費用:営業費用:販売費及び一般管理費:一般管理費:税金:地方税:道府県税:普通税:道府県民税:株式等譲渡所得割,,,,c,,1
,,,,,,,,信用買,個人.負債:流動負債:未払金:有価証券:信用:岡三オンライン証券,,,5249302,c,,1
,,,,,,,,信用売,個人.資産:流動資産:未収入金:有価証券:岡三オンライン証券,,,-7685254,c,,1
